ms;heartrate
0;504
2;504
4;504
6;504
8;506
10;508
12;507
14;508
16;508
18;509
20;518
22;509
24;506
26;507
28;507
30;512
32;501
34;504
36;502
38;508
40;510
42;505
44;506
46;507
48;509
50;520
52;517
54;523
56;526
58;536
60;548
62;551
64;565
66;587
68;607
70;626
72;640
74;649
76;642
78;615
80;606
82;568
84;532
86;505
88;478
90;461
92;436
94;433
96;431
98;433
100;439
102;441
104;448
106;447
108;454
110;460
112;466
114;474
116;478
118;483
120;485
122;492
124;494
126;495
128;499
130;499
132;500
134;501
136;502
138;503
140;503
142;507
144;504
146;502
148;502
150;505
152;510
154;506
156;509
158;512
160;515
162;518
164;510
166;508
168;509
170;507
172;512
174;503
176;504
178;508
180;506
182;507
184;506
186;506
188;512
190;509
192;513
194;510
196;509
198;511
200;509
202;511
204;505
206;505
208;508
210;507
212;514
214;510
216;513
218;516
220;515
222;519
224;510
226;509
228;507
230;507
232;512
234;514
236;510
238;512
240;513
242;512
244;512
246;513
248;515
250;518
252;521
254;518
256;523
258;520
260;521
262;518
264;518
266;523
268;518
270;515
272;515
274;518
276;521
278;522
280;523
282;523
284;524
286;527
288;521
290;523
292;528
294;525
296;533
298;529
300;528
302;528
304;527
306;532
308;523
310;525
312;526
314;526
316;534
318;528
320;529
322;530
324;525
326;528
328;518
330;515
332;517
334;515
336;517
338;515
340;514
342;518
344;512
346;510
348;510
350;506
352;511
354;502
356;502
358;498
360;499
362;495
364;495
366;493
368;492
370;491
372;493
374;491
376;493
378;492
380;491
382;489
384;491
386;487
388;487
390;488
392;485
394;493
396;487
398;496
400;488
402;486
404;489
406;487
408;493
410;484
412;482
414;488
416;491
418;494
420;490
422;490
424;499
426;493
428;490
430;493
432;492
434;490
436;493
438;496
440;493
442;497
444;495
446;496
448;496
450;497
452;497
454;498
456;499
458;503
460;501
462;505
464;503
466;500
468;497
470;500
472;493
474;495
476;496
478;496
480;496
482;498
484;498
486;500
488;502
490;499
492;502
494;504
496;503
498;502
500;499
502;503
504;500
506;502
508;500
510;504
512;504
514;504
516;506
518;505
520;506
522;505
524;503
526;503
528;502
530;505
532;503
534;504
536;504
538;503
540;505
542;504
544;504
546;502
548;504
550;504
552;503
554;505
556;503
558;507
560;505
562;503
564;503
566;506
568;505
570;505
572;504
574;503
576;504
578;506
580;508
582;507
584;510
586;513
588;515
590;517
592;513
594;507
596;502
598;496
600;496
602;496
604;495
606;495
608;497
610;498
612;501
614;502
616;504
618;506
620;504
622;504
624;502
626;504
628;504
630;502
632;506
634;506
636;503
638;505
640;502
